Cycles	Fluorescence	Sample	genotype
8	0.120545736	C1	S28
9	0.298136657	C1	S28
10	0.247145716	C1	S28
11	0.304920433	C1	S28
12	0.250506227	C1	S28
13	0.311017796	C1	S28
14	0.317214632	C1	S28
15	0.25993894	C1	S28
16	0.384131477	C1	S28
17	0.272023415	C1	S28
18	0.333772541	C1	S28
19	0.332058101	C1	S28
20	0.394677709	C1	S28
21	0.460185069	C1	S28
22	0.397443555	C1	S28
23	0.219093505	C1	S28
24	0.570228834	C1	S28
25	0.754327169	C1	S28
26	1.047180844	C1	S28
27	1.297821724	C1	S28
28	1.8219997	C1	S28
29	2.19229625	C1	S28
30	2.606320685	C1	S28
31	2.951023111	C1	S28
32	3.254408956	C1	S28
33	3.543053893	C1	S28
34	3.914385329	C1	S28
35	4.14688154	C1	S28
36	4.233752876	C1	S28
37	4.339643378	C1	S28
38	4.497110156	C1	S28
39	4.454754365	C1	S28
40	4.569695149	C1	S28
1	-0.13559986	C2	S28
2	0.032879219	C2	S28
3	-0.076529559	C2	S28
4	-0.13450314	C2	S28
5	0.090562692	C2	S28
6	0.087590788	C2	S28
7	0.034070539	C2	S28
8	-0.131064706	C2	S28
9	-0.018179509	C2	S28
10	0.044099354	C2	S28
11	0.155082243	C2	S28
12	0.046957077	C2	S28
13	0.160337173	C2	S28
14	0.109602048	C2	S28
15	0.167148674	C2	S28
16	0.116292773	C2	S28
17	0.121433377	C2	S28
18	0.292405221	C2	S28
19	0.122192252	C2	S28
20	0.181346022	C2	S28
21	0.186679684	C2	S28
22	0.183802198	C2	S28
23	-0.042025767	C2	S28
24	0.235997533	C2	S28
25	0.466612644	C2	S28
26	0.632860016	C2	S28
27	0.813293741	C2	S28
28	1.425657559	C2	S28
29	1.72005121	C2	S28
30	2.283293889	C2	S28
31	2.442455744	C2	S28
32	2.899256537	C2	S28
33	3.342881392	C2	S28
34	3.638354805	C2	S28
35	3.85906048	C2	S28
36	4.054850868	C2	S28
37	4.097139718	C2	S28
38	4.247077901	C2	S28
39	4.205742334	C2	S28
40	4.597410021	C2	S28
1	-0.194182588	C3	N
2	-0.08609279	C3	N
3	-0.084200791	C3	N
4	0.074212596	C3	N
5	0.076226002	C3	N
6	0.019854984	C3	N
7	0.128953347	C3	N
8	-0.029521767	C3	N
9	0.132498426	C3	N
10	0.085259804	C3	N
11	0.084384669	C3	N
12	0.249134154	C3	N
13	0.143114979	C3	N
14	0.040551464	C3	N
15	0.042036353	C3	N
16	0.154795807	C3	N
17	0.159760582	C3	N
18	0.161897132	C3	N
19	0.106496826	C3	N
20	0.271414892	C3	N
21	0.22258431	C3	N
22	0.111601992	C3	N
23	-0.051162986	C3	N
24	0.323835205	C3	N
25	0.329035013	C3	N
26	0.326666019	C3	N
27	0.282306489	C3	N
28	0.600665767	C3	N
29	0.610256056	C3	N
30	1.04270036	C3	N
31	1.414006688	C3	N
32	2.230857498	C3	N
33	3.252767445	C3	N
34	4.241759543	C3	N
35	5.15789758	C3	N
36	6.096324703	C3	N
37	6.909640117	C3	N
38	7.588137232	C3	N
39	8.152412285	C3	N
40	8.743679163	C3	N
1	-0.575242488	C4	N
2	-0.364794791	C4	N
3	-0.152605462	C4	N
4	0.050312809	C4	N
5	0.15889913	C4	N
6	0.308188315	C4	N
7	0.468839377	C4	N
8	0.369931829	C4	N
9	0.477139643	C4	N
10	0.440162707	C4	N
11	0.594583536	C4	N
12	0.603059675	C4	N
13	0.658614607	C4	N
14	0.722830273	C4	N
15	0.517463843	C4	N
16	0.529287115	C4	N
17	0.541011083	C4	N
18	0.598519356	C4	N
19	0.542748604	C4	N
20	0.549463501	C4	N
21	0.561307562	C4	N
22	0.607166484	C4	N
23	0.395764239	C4	N
24	0.755483531	C4	N
25	0.767577368	C4	N
26	0.60485301	C4	N
27	0.732103989	C4	N
28	0.560390824	C4	N
29	0.580498742	C4	N
30	0.736125013	C4	N
31	0.511709272	C4	N
32	0.624545489	C4	N
33	0.720187711	C4	N
34	0.842137402	C4	N
35	0.888927189	C4	N
36	1.064255117	C4	N
37	1.588602477	C4	N
38	2.195777239	C4	N
39	3.058327173	C4	N
40	4.053430478	C4	N
1	0.079461621	C5	S28
2	0.029983641	C5	S28
3	-0.018797075	C5	S28
4	-0.021178825	C5	S28
5	0.082966748	C5	S28
6	-0.072974489	C5	S28
7	0.082174181	C5	S28
8	-0.068454793	C5	S28
9	-0.016021986	C5	S28
10	-0.060321908	C5	S28
11	-0.010029208	C5	S28
12	-0.00624367	C5	S28
13	-0.055940365	C5	S28
14	0.000590595	C5	S28
15	0.002202204	C5	S28
16	-0.095114322	C5	S28
17	-0.090052123	C5	S28
18	0.015091831	C5	S28
19	-0.037790844	C5	S28
20	0.016643296	C5	S28
21	0.125010085	C5	S28
22	-0.03252308	C5	S28
23	-0.23907412	C5	S28
