temperature	df/dt	Sample	genotype		
69.1935225	2.157400192	A6	S24		
69.25268102	2.183874199	A6	S24		
69.31183953	2.210333443	A6	S24		
69.37099804	2.23702217	A6	S24		
69.43015656	2.257713083	A6	S24		
69.48931507	2.278988755	A6	S24		
69.54847358	2.307130069	A6	S24		
69.60763209	2.33348478	A6	S24		
69.66679061	2.359082704	A6	S24		
69.72594912	2.384748523	A6	S24		
69.78510763	2.408090732	A6	S24		
69.84426614	2.439578981	A6	S24		
69.90342466	2.479657417	A6	S24		
69.96258317	2.513888816	A6	S24		
70.02174168	2.54041612	A6	S24		
70.0809002	2.567213485	A6	S24		
70.14005871	2.598118353	A6	S24		
70.19921722	2.638073143	A6	S24		
70.25837573	2.689043302	A6	S24		
70.31753425	2.7437423	A6	S24		
70.37669276	2.795782185	A6	S24		
70.43585127	2.845309799	A6	S24		
70.49500978	2.889682815	A6	S24		
70.5541683	2.92527038	A6	S24		
70.61332681	2.959329879	A6	S24		
70.67248532	3.003047863	A6	S24		
70.73164384	3.054416075	A6	S24		
70.79080235	3.100467896	A6	S24		
70.84996086	3.134689767	A6	S24		
70.90911937	3.160012007	A6	S24		
70.96827789	3.172896903	A6	S24		
71.0274364	3.165366015	A6	S24		
71.08659491	3.147210946	A6	S24		
71.14575342	3.146249519	A6	S24		
71.20491194	3.186681754	A6	S24		
71.26407045	3.260599211	A6	S24		
71.32322896	3.341397802	A6	S24		
71.38238748	3.417850385	A6	S24		
71.44154599	3.486207992	A6	S24		
71.5007045	3.545405784	A6	S24		
71.55986301	3.600164129	A6	S24		
71.61902153	3.651000831	A6	S24		
71.67818004	3.699432455	A6	S24		
71.73733855	3.749191429	A6	S24		
71.79649706	3.800605291	A6	S24		
71.85565558	3.854230544	A6	S24		
71.91481409	3.917637123	A6	S24		
71.9739726	4.003803081	A6	S24		
72.03313112	4.116026743	A6	S24		
72.09228963	4.244717435	A6	S24		
72.15144814	4.385155016	A6	S24		
72.21060665	4.536100125	A6	S24		
72.26976517	4.681248791	A6	S24		
72.32892368	4.811092021	A6	S24		
72.38808219	4.944831847	A6	S24		
72.4472407	5.092373428	A6	S24		
72.50639922	5.243840594	A6	S24		
72.56555773	5.396983766	A6	S24		
72.62471624	5.549115018	A6	S24		
72.68387476	5.695744829	A6	S24		
72.74303327	5.83780011	A6	S24		
72.80219178	5.981131049	A6	S24		
72.86135029	6.135786641	A6	S24		
72.92050881	6.3020983	A6	S24		
72.97966732	6.476802671	A6	S24		
73.03882583	6.666539772	A6	S24		
73.09798434	6.874305348	A6	S24		
73.15714286	7.092041613	A6	S24		
73.21630137	7.308341043	A6	S24		
73.27545988	7.510025707	A6	S24		
73.3346184	7.699278912	A6	S24		
73.39377691	7.889435329	A6	S24		
73.45293542	8.078444609	A6	S24		
73.51209393	8.249451214	A6	S24		
73.57125245	8.405530621	A6	S24		
73.63041096	8.573998106	A6	S24		
73.68956947	8.757709637	A6	S24		
73.74872798	8.940834111	A6	S24		
73.8078865	9.122544307	A6	S24		
73.86704501	9.320598005	A6	S24		
73.92620352	9.543134216	A6	S24		
73.98536204	9.780418063	A6	S24		
74.04452055	10.02610363	A6	S24		
74.10367906	10.2737968	A6	S24		
74.16283757	10.50774477	A6	S24		
74.22199609	10.71847715	A6	S24		
74.2811546	10.91099191	A6	S24		
74.34031311	11.07576571	A6	S24		
74.39947162	11.20312769	A6	S24		
74.45863014	11.29021914	A6	S24		
74.51778865	11.34884659	A6	S24		
74.57694716	11.42149377	A6	S24		
74.63610568	11.55025416	A6	S24		
74.69526419	11.74550696	A6	S24		
74.7544227	11.94744991	A6	S24		
74.81358121	12.09872124	A6	S24		
74.87273973	12.19619301	A6	S24		
74.93189824	12.24503083	A6	S24		
74.99105675	12.24668324	A6	S24		
75.05021526	12.20799126	A6	S24		
75.10937378	12.13957917	A6	S24		
75.16853229	12.06577715	A6	S24		
75.2276908	12.00769119	A6	S24		
75.28684932	11.94034451	A6	S24		
75.34600783	11.84365545	A6	S24		
75.40516634	11.72507448	A6	S24		
75.46432485	11.59032846	A6	S24		
75.52348337	11.43773104	A6	S24		
75.58264188	11.25033865	A6	S24		
75.64180039	11.01759303	A6	S24		
75.7009589	10.75413377	A6	S24		
75.76011742	10.47834373	A6	S24		
75.81927593	10.19100344	A6	S24		
75.87843444	9.898737569	A6	S24		
75.93759295	9.625082954	A6	S24		
75.99675147	9.371163422	A6	S24		
76.05590998	9.113307814	A6	S24		
76.11506849	8.841788932	A6	S24		
76.17422701	8.564617449	A6	S24		
76.23338552	8.271921432	A6	S24		
76.29254403	7.948779207	A6	S24		
76.35170254	7.602997871	A6	S24		
76.41086106	7.248881973	A6	S24		
76.47001957	6.905622398	A6	S24		
76.52917808	6.587284584	A6	S24		
76.58833659	6.294875679	A6	S24		
76.64749511	6.025503555	A6	S24		
76.70665362	5.76834393	A6	S24		
76.76581213	5.506953886	A6	S24		
76.82497065	5.237953525	A6	S24		
76.88412916	4.970610644	A6	S24		
76.94328767	4.709518271	A6	S24		
77.00244618	4.451541591	A6	S24		
77.0616047	4.193610099	A6	S24		
77.12076321	3.941174981	A6	S24		
77.17992172	3.706172389	A6	S24		
77.23908023	3.495468819	A6	S24		
77.29823875	3.305621036	A6	S24		
77.35739726	3.128193779	A6	S24		
77.41655577	2.959838776	A6	S24		
77.47571429	2.802188088	A6	S24		
