Cycles	Fluorescence	Sample 	genotype
24	1.826072479	E2	S2
25	2.955354367	E2	S2
26	4.503403356	E2	S2
27	6.376059002	E2	S2
28	8.211830292	E2	S2
29	9.457670988	E2	S2
30	10.25566425	E2	S2
31	10.73554396	E2	S2
32	10.95739191	E2	S2
33	10.98036609	E2	S2
34	10.89653422	E2	S2
35	11.10400358	E2	S2
36	10.89059081	E2	S2
37	10.98832395	E2	S2
38	10.79476008	E2	S2
39	10.92422326	E2	S2
40	10.98740935	E2	S2
1	-0.020222328	E3	S2
2	0.107860161	E3	S2
3	-0.067160937	E3	S2
4	-0.152172242	E3	S2
5	0.094510738	E3	S2
6	0.016962279	E3	S2
7	-0.066469623	E3	S2
