Cycles	Fluorescence	Sample	genotype
15	0.077534686	D1	N
16	0.15665888	D1	N
17	0.072962017	D1	N
18	0.077542167	D1	N
19	0.149052234	D1	N
20	0.003429043	D1	N
21	0.087197925	D1	N
22	0.070075673	D1	N
23	0.158926819	D1	N
24	0.164167392	D1	N
25	0.362471784	D1	N
26	0.055177717	D1	N
27	0.279465492	D1	N
28	-0.022049779	D1	N
29	0.276884473	D1	N
30	0.208548376	D1	N
31	0.134510517	D1	N
32	0.280863964	D1	N
33	0.131819293	D1	N
34	0.203402887	D1	N
35	0.276532469	D1	N
36	0.126897014	D1	N
37	0.204117792	D1	N
38	0.348470325	D1	N
39	0.352841733	D1	N
40	0.500457477	D1	N
1	-0.106624952	D2	N
2	-0.109608999	D2	N
3	0.025978216	D2	N
4	-0.040677692	D2	N
5	0.095432768	D2	N
6	0.028875707	D2	N
7	0.028152777	D2	N
8	0.176142623	D2	N
9	-0.042956792	D2	N
10	-0.050768273	D2	N
11	0.169193477	D2	N
12	0.243220321	D2	N
13	0.09755397	D2	N
14	0.173835567	D2	N
15	0.246347542	D2	N
16	0.250045743	D2	N
17	0.313237488	D2	N
18	0.246247043	D2	N
19	0.242248011	D2	N
20	0.175956017	D2	N
21	0.256391161	D2	N
22	0.310055098	D2	N
23	0.252199614	D2	N
24	0.401515811	D2	N
25	0.372283342	D2	N
26	0.364950775	D2	N
27	0.363596537	D2	N
28	0.361801196	D2	N
29	0.431675863	D2	N
30	0.367169234	D2	N
31	0.29691251	D2	N
32	0.293261011	D2	N
33	0.295226928	D2	N
34	0.292512856	D2	N
35	0.362632113	D2	N
36	0.221110795	D2	N
37	0.366746084	D2	N
38	0.503878146	D2	N
39	0.437133294	D2	N
40	0.434584976	D2	N
1	-0.295002847	D3	N
2	-0.090826686	D3	N
3	-0.030520082	D3	N
4	-0.025057817	D3	N
5	0.035922071	D3	N
6	0.110482514	D3	N
7	0.040690424	D3	N
8	0.114458121	D3	N
9	0.041541569	D3	N
10	-0.035912678	D3	N
11	0.175968649	D3	N
12	0.247417662	D3	N
13	0.10718506	D3	N
14	0.112033076	D3	N
15	0.181776729	D3	N
16	0.254881111	D3	N
17	0.452303551	D3	N
18	0.388748931	D3	N
19	0.246375375	D3	N
20	0.183342957	D3	N
21	0.330831157	D3	N
22	0.517421637	D3	N
23	0.326048	D3	N
24	0.539185504	D3	N
25	0.575054778	D3	N
26	0.291857279	D3	N
27	0.632607495	D3	N
28	0.424118474	D3	N
29	0.558966709	D3	N
30	0.497403052	D3	N
31	0.498563045	D3	N
32	0.494537298	D3	N
33	0.496981667	D3	N
